Name;Sweep (T1);;;Name;Sweep (T1);;;
93650793,6507937;-106,099624633789;-114,402717590332;;93650793,6507937;-98,3711471557617;-107,403625488281;;
93652380,952381;-102,713493347168;-107,705230712891;;93652380,952381;-97,8540878295898;-103,666931152344;;
93653968,2539683;-103,500610351563;-111,196090698242;;93653968,2539683;-97,5147323608398;-110,605346679688;;
93655555,5555556;-98,5456390380859;-106,451103210449;;93655555,5555556;-97,9990921020508;-109,751342773438;;
93657142,8571429;-98,3737487792969;-113,336524963379;;93657142,8571429;-96,9917449951172;-103,920539855957;;
93658730,1587302;-103,180587768555;-111,011978149414;;93658730,1587302;-97,5330352783203;-109,040542602539;;
93660317,4603175;-98,6487350463867;-102,645347595215;;93660317,4603175;-97,7627792358398;-112,94490814209;;
93661904,7619048;-101,965202331543;-105,484550476074;;93661904,7619048;-94,5535507202148;-106,356422424316;;
93663492,0634921;-100,513298034668;-109,516426086426;;93663492,0634921;-101,919715881348;-109,404090881348;;
93665079,3650794;-101,156806945801;-113,11213684082;;93665079,3650794;-96,7203140258789;-102,927940368652;;
93666666,6666667;-101,575126647949;-104,677825927734;;93666666,6666667;-100,039276123047;-109,284088134766;;
93668253,968254;-100,574150085449;-105,830726623535;;93668253,968254;-100,013847351074;-108,174224853516;;
93669841,2698413;-101,288970947266;-107,811134338379;;93669841,2698413;-100,043968200684;-108,412475585938;;
93671428,5714286;-102,176094055176;-110,117866516113;;93671428,5714286;-100,979690551758;-109,375335693359;;
93673015,8730159;-102,281196594238;-110,666961669922;;93673015,8730159;-100,872543334961;-105,437088012695;;
93674603,1746032;-100,624290466309;-111,125617980957;;93674603,1746032;-100,870658874512;-104,882499694824;;
93676190,4761905;-99,5215225219727;-108,891479492188;;93676190,4761905;-97,4387435913086;-100,81665802002;;
93677777,7777778;-95,3637237548828;-99,3508148193359;;93677777,7777778;-101,557792663574;-113,712623596191;;
93679365,0793651;-99,8038558959961;-113,011268615723;;93679365,0793651;-100,3876953125;-110,315467834473;;
93680952,3809524;-100,894325256348;-107,79859161377;;93680952,3809524;-97,0931091308594;-107,251304626465;;
93682539,6825397;-104,471160888672;-115,862442016602;;93682539,6825397;-97,3469848632813;-100,007736206055;;
93684126,984127;-104,903266906738;-116,401313781738;;93684126,984127;-98,4341201782227;-105,458885192871;;
93685714,2857143;-102,501579284668;-114,52823638916;;93685714,2857143;-97,2334365844727;-110,617630004883;;
93687301,5873016;-102,645812988281;-106,92081451416;;93687301,5873016;-97,5322265625;-100,142799377441;;
93688888,8888889;-99,8588714599609;-110,888473510742;;93688888,8888889;-98,0253601074219;-112,82088470459;;
93690476,1904762;-110,401741027832;-121,62427520752;;93690476,1904762;-100,432022094727;-109,164428710938;;
93692063,4920635;-97,6560668945313;-112,685195922852;;93692063,4920635;-99,5946807861328;-105,11661529541;;
93693650,7936508;-99,951904296875;-105,453712463379;;93693650,7936508;-99,7222671508789;-108,575408935547;;
93695238,0952381;-100,532211303711;-115,392517089844;;93695238,0952381;-100,13298034668;-106,787094116211;;
93696825,3968254;-97,288948059082;-102,109390258789;;93696825,3968254;-105,997680664063;-107,844116210938;;
93698412,6984127;-96,9952163696289;-104,532417297363;;93698412,6984127;-103,933029174805;-106,729393005371;;
93700000;-99,3935623168945;-111,380790710449;;93700000;-104,429527282715;-117,848320007324;;
93701587,3015873;-100,179176330566;-111,507781982422;;93701587,3015873;-104,537796020508;-108,070487976074;;
93703174,6031746;-101,391792297363;-107,902854919434;;93703174,6031746;-103,497055053711;-113,648994445801;;
93704761,9047619;-99,3963241577148;-101,174629211426;;93704761,9047619;-102,644844055176;-106,359558105469;;
93706349,2063492;-100,495697021484;-111,304328918457;;93706349,2063492;-99,5007400512695;-110,086402893066;;
93707936,5079365;-102,048065185547;-110,087142944336;;93707936,5079365;-102,269897460938;-108,247619628906;;
93709523,8095238;-101,667579650879;-111,383087158203;;93709523,8095238;-104,072196960449;-112,44115447998;;
93711111,1111111;-99,6557464599609;-112,855995178223;;93711111,1111111;-101,319450378418;-108,381340026855;;
93712698,4126984;-98,3232040405273;-105,329650878906;;93712698,4126984;-96,6416091918945;-111,481925964355;;
93714285,7142857;-97,3693771362305;-105,679458618164;;93714285,7142857;-102,8515625;-107,148834228516;;
93715873,015873;-96,5300521850586;-101,734298706055;;93715873,015873;-99,3086166381836;-111,15518951416;;
93717460,3174603;-97,7672576904297;-100,155349731445;;93717460,3174603;-98,1839904785156;-103,148132324219;;
93719047,6190476;-96,8082962036133;-99,7505950927734;;93719047,6190476;-100,929656982422;-105,734085083008;;
93720634,9206349;-96,6535949707031;-102,299270629883;;93720634,9206349;-101,532348632813;-116,083450317383;;
93722222,2222222;-99,1291809082031;-103,80729675293;;93722222,2222222;-100,652366638184;-108,815979003906;;
93723809,5238095;-103,789474487305;-109,428276062012;;93723809,5238095;-105,392784118652;-112,666458129883;;
93725396,8253968;-95,5573883056641;-103,745918273926;;93725396,8253968;-103,386856079102;-109,171646118164;;
93726984,1269841;-98,6459426879883;-106,479026794434;;93726984,1269841;-101,085235595703;-103,089660644531;;
93728571,4285714;-96,3693695068359;-98,7711791992188;;93728571,4285714;-103,322425842285;-118,207061767578;;
93730158,7301587;-99,1774291992188;-107,480003356934;;93730158,7301587;-100,573883056641;-107,985244750977;;
93731746,031746;-101,68824005127;-106,097526550293;;93731746,031746;-108,672546386719;-116,254234313965;;
93733333,3333333;-97,1851272583008;-103,125503540039;;93733333,3333333;-109,551239013672;-115,297714233398;;
93734920,6349206;-92,7732925415039;-104,26146697998;;93734920,6349206;-98,6792526245117;-115,787673950195;;
93736507,9365079;-93,5172119140625;-100,006706237793;;93736507,9365079;-98,5930099487305;-111,752464294434;;
93738095,2380952;-98,2658462524414;-108,549667358398;;93738095,2380952;-99,1339263916016;-108,357627868652;;
93739682,5396825;-104,071586608887;-108,773071289063;;93739682,5396825;-94,3806610107422;-103,276229858398;;
93741269,8412698;-93,2176971435547;-105,526107788086;;93741269,8412698;-94,8069610595703;-100,683212280273;;
93742857,1428571;-93,2484283447266;-102,085968017578;;93742857,1428571;-101,419929504395;-104,181274414063;;
93744444,4444444;-92,2879104614258;-107,110527038574;;93744444,4444444;-97,0267639160156;-110,496170043945;;
93746031,7460317;-94,7089233398438;-100,696426391602;;93746031,7460317;-96,7224960327148;-107,623023986816;;
93747619,047619;-98,9801864624023;-108,151947021484;;93747619,047619;-100,442100524902;-111,799629211426;;
93749206,3492063;-91,5673980712891;-98,4083786010742;;93749206,3492063;-99,2365188598633;-109,220260620117;;
93750793,6507937;-95,0033493041992;-109,583686828613;;93750793,6507937;-95,2989196777344;-99,3653259277344;;
93752380,952381;-94,5613555908203;-102,167861938477;;93752380,952381;-95,3187789916992;-99,8097305297852;;
93753968,2539683;-94,273063659668;-96,3553771972656;;93753968,2539683;-93,8219833374023;-99,2434616088867;;
93755555,5555556;-95,0473480224609;-103,557746887207;;93755555,5555556;-91,5880432128906;-99,7099227905273;;
93757142,8571429;-94,5472717285156;-100,971366882324;;93757142,8571429;-91,8980178833008;-100,515403747559;;
93758730,1587302;-89,72802734375;-98,0484390258789;;93758730,1587302;-91,7468109130859;-93,6212997436523;;
93760317,4603175;-89,5309371948242;-90,7156677246094;;93760317,4603175;-93,8283309936523;-100,654258728027;;
93761904,7619048;-89,4135894775391;-106,050498962402;;93761904,7619048;-92,8911590576172;-97,8433532714844;;
93763492,0634921;-92,693359375;-97,8987655639648;;93763492,0634921;-91,6079177856445;-97,8177719116211;;
93765079,3650794;-91,6097106933594;-102,250595092773;;93765079,3650794;-94,6835556030273;-105,548294067383;;
93766666,6666667;-88,8564529418945;-91,4786071777344;;93766666,6666667;-92,7318801879883;-106,771965026855;;
93768253,968254;-91,4200286865234;-103,845695495605;;93768253,968254;-95,2243347167969;-100,785354614258;;
93769841,2698413;-91,3052825927734;-96,4088745117188;;93769841,2698413;-92,6300964355469;-106,470497131348;;
